Saņēmējs,Ziedojuma veids,Vērtība,Deputāts,Frakcija,Datums
"Jaunā VIENOTĪBA (Nacionālās VIENOTĪBAS apvienība; Partijas Jaunais laiks, partijas Pilsoniskā savienība un partijas Sabiedrība Citai Politikai apvienība; VIENOTĪBA)",Nauda,EUR 40.00,Agita Zariņa-Stūre,Frakcija JAUNĀ VIENOTĪBA,09/02/2023
"Jaunā VIENOTĪBA (Nacionālās VIENOTĪBAS apvienība; Partijas Jaunais laiks, partijas Pilsoniskā savienība un partijas Sabiedrība Citai Politikai apvienība; VIENOTĪBA)",Nauda,EUR 50.00,Ilze Vergina,Frakcija JAUNĀ VIENOTĪBA,07/02/2023
"Jaunā VIENOTĪBA (Nacionālās VIENOTĪBAS apvienība; Partijas Jaunais laiks, partijas Pilsoniskā savienība un partijas Sabiedrība Citai Politikai apvienība; VIENOTĪBA)",Nauda,EUR 60.00,Viktorija Baire,Frakcija JAUNĀ VIENOTĪBA,07/02/2023
"Jaunā VIENOTĪBA (Nacionālās VIENOTĪBAS apvienība; Partijas Jaunais laiks, partijas Pilsoniskā savienība un partijas Sabiedrība Citai Politikai apvienība; VIENOTĪBA)",Nauda,EUR 60.00,Jānis Patmalnieks,Frakcija JAUNĀ VIENOTĪBA,06/02/2023
"Jaunā VIENOTĪBA (Nacionālās VIENOTĪBAS apvienība; Partijas Jaunais laiks, partijas Pilsoniskā savienība un partijas Sabiedrība Citai Politikai apvienība; VIENOTĪBA)",Nauda,EUR 30.00,Irma Kalniņa,Frakcija JAUNĀ VIENOTĪBA,06/02/2023
"Kustība ""Par!""",Nauda,EUR 100.00,Mārtiņš Daģis,Frakcija JAUNĀ VIENOTĪBA,03/02/2023
"Jaunā VIENOTĪBA (Nacionālās VIENOTĪBAS apvienība; Partijas Jaunais laiks, partijas Pilsoniskā savienība un partijas Sabiedrība Citai Politikai apvienība; VIENOTĪBA)",Nauda,EUR 60.00,Agnese Krasta,Frakcija JAUNĀ VIENOTĪBA,03/02/2023
"Jaunā VIENOTĪBA (Nacionālās VIENOTĪBAS apvienība; Partijas Jaunais laiks, partijas Pilsoniskā savienība un partijas Sabiedrība Citai Politikai apvienība; VIENOTĪBA)",Nauda,EUR 30.00,Atis Labucis,Frakcija JAUNĀ VIENOTĪBA,02/02/2023
"Jaunā VIENOTĪBA (Nacionālās VIENOTĪBAS apvienība; Partijas Jaunais laiks, partijas Pilsoniskā savienība un partijas Sabiedrība Citai Politikai apvienība; VIENOTĪBA)",Nauda,EUR 30.00,Uģis Rotbergs,Frakcija JAUNĀ VIENOTĪBA,31/01/2023
"Jaunā VIENOTĪBA (Nacionālās VIENOTĪBAS apvienība; Partijas Jaunais laiks, partijas Pilsoniskā savienība un partijas Sabiedrība Citai Politikai apvienība; VIENOTĪBA)",Nauda,EUR 30.00,Anna Rancāne,Frakcija JAUNĀ VIENOTĪBA,31/01/2023
"Jaunā VIENOTĪBA (Nacionālās VIENOTĪBAS apvienība; Partijas Jaunais laiks, partijas Pilsoniskā savienība un partijas Sabiedrība Citai Politikai apvienība; VIENOTĪBA)",Nauda,EUR 30.00,Ingrīda Circene,Frakcija JAUNĀ VIENOTĪBA,30/01/2023
"Jaunā VIENOTĪBA (Nacionālās VIENOTĪBAS apvienība; Partijas Jaunais laiks, partijas Pilsoniskā savienība un partijas Sabiedrība Citai Politikai apvienība; VIENOTĪBA)",Nauda,EUR 60.00,Edmunds Jurēvics,Frakcija JAUNĀ VIENOTĪBA,30/01/2023
"Jaunā VIENOTĪBA (Nacionālās VIENOTĪBAS apvienība; Partijas Jaunais laiks, partijas Pilsoniskā savienība un partijas Sabiedrība Citai Politikai apvienība; VIENOTĪBA)",Nauda,EUR 40.00,Gatis Liepiņš,Frakcija JAUNĀ VIENOTĪBA,30/01/2023
