Partija,Veids,Vērtība,Deputāts,Frakcija,Datums
Jaunā konservatīvā partija,Nauda, €  170.00 ,"Feldmans, Krišjānis",Jauno Konservatīvo frakcija,7/3/2019
Jaunā konservatīvā partija,Nauda, €  120.00 ,"Muižniece, Anita",Jauno Konservatīvo frakcija,7/3/2019
Jaunā konservatīvā partija,Nauda, €  230.00 ,"Cielēns, Jānis",Jauno Konservatīvo frakcija,6/3/2019
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  5.00 ,"Dombrava, Jānis",Nacionāla Apvienība VL-TB/LNNK,6/3/2019
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  50.00 ,"Dzintars, Raivis",Nacionāla Apvienība VL-TB/LNNK,6/3/2019
Jaunā konservatīvā partija,Nauda, €  286.00 ,"Rancāns, Juris",Jauno Konservatīvo frakcija,6/3/2019
Jaunā konservatīvā partija,Nauda, €  230.00 ,"Riekstiņš, Sandis",Jauno Konservatīvo frakcija,6/3/2019
Kustība Par!,Nauda, €  100.00 ,"Šteins, Mārtiņš",Attīstībai/Par!,6/3/2019
Jaunā konservatīvā partija,Nauda, €  200.00 ,"Zālīte-Grosa, Evita",Jauno Konservatīvo frakcija,6/3/2019
Zaļo un Zemnieku savienība,Nauda, €  100.00 ,"Dūklavs, Jānis",Zaļo un Zemnieku Savienība,5/3/2019
Jaunā konservatīvā partija,Nauda, €  225.00 ,"Butāns, Jānis",Jauno Konservatīvo frakcija,4/3/2019
Jaunā konservatīvā partija,Nauda, €  20.00 ,"Mārtuža, Eva",Jauno Konservatīvo frakcija,4/3/2019
Kustība Par!,Nauda, €  10.00 ,"Voika, Inese",Attīstībai/Par!,4/3/2019
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda, €  100.00 ,"Iesalnieks, Jānis",Nacionāla Apvienība VL-TB/LNNK,3/3/2019
Jaunā konservatīvā partija,Nauda, €  110.00 ,"Muižniece, Anita",Jauno Konservatīvo frakcija,1/3/2019
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda, €  100.00 ,"Šņore, Edvīns",Nacionāla Apvienība VL-TB/LNNK,1/3/2019
"Saskaņa, sociāldemokrātiskā partija",Nauda, €  200.00 ,"Dombrovskis, Vjačeslavs",Pie frakcijām nepiederošie deputāti,27/2/2019
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  20.00 ,"Dombrava, Jānis",Nacionāla Apvienība VL-TB/LNNK,26/2/2019
Jaunā konservatīvā partija,Nauda, €  250.00 ,"Eglītis, Gatis",Jauno Konservatīvo frakcija,25/2/2019
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda, €  100.00 ,"Jansons, Ritvars",Nacionāla Apvienība VL-TB/LNNK,25/2/2019
Kustība Par!,Biedra nauda, €  50.00 ,"Tērauda, Vita Anda",Attīstībai/Par!,25/2/2019
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  10.00 ,"Dombrava, Jānis",Nacionāla Apvienība VL-TB/LNNK,24/2/2019
Kustība Par!,Nauda, €  50.00 ,"Dūrītis, Ilmārs",Attīstībai/Par!,24/2/2019
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda, €  105.00 ,"Indriksone, Ilze",Nacionāla Apvienība VL-TB/LNNK,24/2/2019
Jaunā konservatīvā partija,Nauda, €  80.00 ,"Feldmans, Krišjānis",Jauno Konservatīvo frakcija,22/2/2019
Jaunā konservatīvā partija,Nauda, €  175.00 ,"Budriķis, Uldis",Jauno Konservatīvo frakcija,21/2/2019
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  15.00 ,"Dombrava, Jānis",Nacionāla Apvienība VL-TB/LNNK,21/2/2019
"Saskaņa, sociāldemokrātiskā partija",Nauda, €  500.00 ,"Klementjevs, Ivans",Saskaņa,21/2/2019
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  20.00 ,"Kols, Rihards",Nacionāla Apvienība VL-TB/LNNK,19/2/2019
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  10.00 ,"Kols, Rihards",Nacionāla Apvienība VL-TB/LNNK,19/2/2019
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  10.00 ,"Kols, Rihards",Nacionāla Apvienība VL-TB/LNNK,18/2/2019
"Saskaņa, sociāldemokrātiskā partija",Nauda," €  1,000.00 ","Krišāns, Jānis",Saskaņa,18/2/2019
"Saskaņa, sociāldemokrātiskā partija",Nauda," €  1,000.00 ","Ločmele-Luņova, Regīna",Saskaņa,16/2/2019
"Saskaņa, sociāldemokrātiskā partija",Nauda," €  1,000.00 ","Ādamsons, Jānis",Saskaņa,15/2/2019
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda, €  100.00 ,"Teirumnieks, Edmunds",Nacionāla Apvienība VL-TB/LNNK,15/2/2019
"Saskaņa, sociāldemokrātiskā partija",Nauda," €  1,000.00 ","Kabanovs, Nikolajs",Saskaņa,14/2/2019
"Saskaņa, sociāldemokrātiskā partija",Nauda," €  1,000.00 ","Zariņš, Ivars",Saskaņa,14/2/2019
"Saskaņa, sociāldemokrātiskā partija",Nauda," €  1,000.00 ","Nikonovs, Vladimirs",Saskaņa,13/2/2019
"Saskaņa, sociāldemokrātiskā partija",Nauda," €  1,000.00 ","Švecova, Ļubova",Pie frakcijām nepiederošie deputāti,13/2/2019
Jaunā konservatīvā partija,Nauda, €  20.00 ,"Butāns, Jānis",Jauno Konservatīvo frakcija,12/2/2019
Jaunā konservatīvā partija,Nauda, €  195.00 ,"Znotiņš, Reinis",Jauno Konservatīvo frakcija,11/2/2019
Jaunā konservatīvā partija,Nauda, €  300.00 ,"Jurašs, Juris",Jauno Konservatīvo frakcija,10/2/2019
Jaunā konservatīvā partija,Nauda, €  170.00 ,"Feldmans, Krišjānis",Jauno Konservatīvo frakcija,8/2/2019
Jaunā konservatīvā partija,Nauda, €  220.00 ,"Muižniece, Anita",Jauno Konservatīvo frakcija,8/2/2019
Attīstībai/Par!,Nauda, €  19.50 ,"Rukšāne-Ščipčinska, Dace",Attīstībai/Par!,8/2/2019
Jaunā konservatīvā partija,Biedra nauda, €  210.00 ,"Žunna, Normunds",Jauno Konservatīvo frakcija,8/2/2019
"Saskaņa, sociāldemokrātiskā partija",Nauda," €  1,000.00 ","Agešins, Valērijs",Saskaņa,7/2/2019
"Saskaņa, sociāldemokrātiskā partija",Nauda," €  1,000.00 ","Cilevičs, Boriss",Saskaņa,7/2/2019
"Saskaņa, sociāldemokrātiskā partija",Nauda, €  770.00 ,"Goldberga, Inga",Saskaņa,7/2/2019
"Saskaņa, sociāldemokrātiskā partija",Nauda, €  500.00 ,"Kucins, Edgars",Saskaņa,7/2/2019
"Saskaņa, sociāldemokrātiskā partija",Nauda, €  800.00 ,"Papule, Evija",Pie frakcijām nepiederošie deputāti,7/2/2019
Attīstībai/Par!,Nauda, €  100.00 ,"Pūce, Juris",Attīstībai/Par!,7/2/2019
"Saskaņa, sociāldemokrātiskā partija",Nauda," €  1,000.00 ","Ribakovs, Ivans",Saskaņa,7/2/2019
"Saskaņa, sociāldemokrātiskā partija",Nauda, €  500.00 ,"Rubiks, Artūrs",Saskaņa,7/2/2019
"Saskaņa, sociāldemokrātiskā partija",Nauda," €  1,000.00 ","Tutins, Jānis",Saskaņa,7/2/2019
"VIENOTĪBA, Partija",Nauda," €  3,000.00 ","Ašeradens, Arvils",Jaunā Vienotība,6/2/2019
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  5.18 ,"Dombrava, Jānis",Nacionāla Apvienība VL-TB/LNNK,6/2/2019
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  5.18 ,"Dombrava, Jānis",Nacionāla Apvienība VL-TB/LNNK,6/2/2019
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda," €  1,000.00 ","Kiršteins, Aleksandrs",Nacionāla Apvienība VL-TB/LNNK,6/2/2019
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda, €  150.00 ,"Kols, Rihards",Nacionāla Apvienība VL-TB/LNNK,6/2/2019
Jaunā konservatīvā partija,Nauda, €  207.00 ,"Rancāns, Juris",Jauno Konservatīvo frakcija,6/2/2019
Jaunā konservatīvā partija,Nauda, €  230.00 ,"Riekstiņš, Sandis",Jauno Konservatīvo frakcija,6/2/2019
Jaunā konservatīvā partija,Nauda, €  200.00 ,"Zālīte-Grosa, Evita",Jauno Konservatīvo frakcija,6/2/2019
Jaunā konservatīvā partija,Nauda, €  20.00 ,"Mārtuža, Eva",Jauno Konservatīvo frakcija,4/2/2019
Jaunā konservatīvā partija,Nauda, €  50.00 ,"Riekstiņš, Sandis",Jauno Konservatīvo frakcija,4/2/2019
Jaunā konservatīvā partija,Biedra nauda, €  250.00 ,"Beitnere-Le Galla, Dagmāra",Jauno Konservatīvo frakcija,3/2/2019
Jaunā konservatīvā partija,Biedra nauda, €  200.00 ,"Žunna, Normunds",Jauno Konservatīvo frakcija,3/2/2019
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda, €  100.00 ,"Iesalnieks, Jānis",Nacionāla Apvienība VL-TB/LNNK,2/2/2019
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda, €  100.00 ,"Šņore, Edvīns",Nacionāla Apvienība VL-TB/LNNK,1/2/2019
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda, €  100.00 ,"Jansons, Ritvars",Nacionāla Apvienība VL-TB/LNNK,31/1/2019
Attīstībai/Par!,Nauda, €  36.18 ,"Rukšāne-Ščipčinska, Dace",Attīstībai/Par!,30/1/2019
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda," €  1,000.00 ","Dzintars, Raivis",Nacionāla Apvienība VL-TB/LNNK,28/1/2019
Jaunā konservatīvā partija,Nauda, €  80.00 ,"Feldmans, Krišjānis",Jauno Konservatīvo frakcija,28/1/2019
LATGALES PARTIJA,Nauda, €  150.00 ,"Adamovičs, Aldis",Jaunā Vienotība,26/1/2019
Kustība Par!,Nauda, €  100.00 ,"Golubeva, Marija",Attīstībai/Par!,25/1/2019
Kustība Par!,Biedra nauda, €  50.00 ,"Tērauda, Vita Anda",Attīstībai/Par!,25/1/2019
Attīstībai/Par!,Nauda, €  62.35 ,"Rukšāne-Ščipčinska, Dace",Attīstībai/Par!,24/1/2019
Jaunā konservatīvā partija,Nauda, €  160.00 ,"Budriķis, Uldis",Jauno Konservatīvo frakcija,23/1/2019
Jaunā konservatīvā partija,Nauda, €  20.00 ,"Budriķis, Uldis",Jauno Konservatīvo frakcija,23/1/2019
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  94.00 ,"Indriksone, Ilze",Nacionāla Apvienība VL-TB/LNNK,18/1/2019
Jaunā konservatīvā partija,Nauda, €  10.00 ,"Butāns, Jānis",Jauno Konservatīvo frakcija,15/1/2019
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda, €  100.00 ,"Mūrniece, Ināra",Nacionāla Apvienība VL-TB/LNNK,15/1/2019
Latvijas attīstībai,Biedra nauda, €  150.00 ,"Pūce, Juris",Attīstībai/Par!,15/1/2019
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda," €  2,500.00 ","Dzintars, Raivis",Nacionāla Apvienība VL-TB/LNNK,14/1/2019
Jaunā konservatīvā partija,Nauda, €  200.00 ,"Znotiņš, Reinis",Jauno Konservatīvo frakcija,11/1/2019
Jaunā konservatīvā partija,Nauda, €  200.00 ,"Muižniece, Anita",Jauno Konservatīvo frakcija,10/1/2019
Attīstībai/Par!,Nauda, €  50.00 ,"Pūce, Juris",Attīstībai/Par!,10/1/2019
Jaunā konservatīvā partija,Nauda, €  130.00 ,"Feldmans, Krišjānis",Jauno Konservatīvo frakcija,9/1/2019
Jaunā konservatīvā partija,Nauda, €  280.00 ,"Jurašs, Juris",Jauno Konservatīvo frakcija,9/1/2019
Jaunā konservatīvā partija,Nauda, €  193.00 ,"Rancāns, Juris",Jauno Konservatīvo frakcija,9/1/2019
Jaunā konservatīvā partija,Biedra nauda, €  250.00 ,"Beitnere-Le Galla, Dagmāra",Jauno Konservatīvo frakcija,8/1/2019
Attīstībai/Par!,Nauda, €  43.99 ,"Rukšāne-Ščipčinska, Dace",Attīstībai/Par!,8/1/2019
Jaunā konservatīvā partija,Nauda, €  200.00 ,"Zālīte-Grosa, Evita",Jauno Konservatīvo frakcija,8/1/2019
Jaunā konservatīvā partija,Nauda, €  180.00 ,"Eglītis, Gatis",Jauno Konservatīvo frakcija,7/1/2019
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda, €  200.00 ,"Iesalnieks, Jānis",Nacionāla Apvienība VL-TB/LNNK,3/1/2019
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda, €  100.00 ,"Teirumnieks, Edmunds",Nacionāla Apvienība VL-TB/LNNK,3/1/2019
Latvijas attīstībai,Biedra nauda, €  50.00 ,"Pūce, Juris",Attīstībai/Par!,31/12/2018
Jaunā konservatīvā partija,Nauda, €  100.00 ,"Feldmans, Krišjānis",Jauno Konservatīvo frakcija,27/12/2018
Zaļo un Zemnieku savienība,Nauda," €  1,500.00 ","Kučinskis, Māris",Zaļo un Zemnieku Savienība,27/12/2018
Jaunā konservatīvā partija,Nauda, €  50.00 ,"Eglītis, Gatis",Jauno Konservatīvo frakcija,24/12/2018
Jaunā konservatīvā partija,Nauda, €  100.00 ,"Beitnere-Le Galla, Dagmāra",Jauno Konservatīvo frakcija,22/12/2018
Jaunā konservatīvā partija,Nauda, €  200.00 ,"Budriķis, Uldis",Jauno Konservatīvo frakcija,21/12/2018
Jaunā konservatīvā partija,Nauda, €  165.00 ,"Rancāns, Juris",Jauno Konservatīvo frakcija,19/12/2018
Jaunā konservatīvā partija,Nauda, €  10.00 ,"Butāns, Jānis",Jauno Konservatīvo frakcija,18/12/2018
Jaunā konservatīvā partija,Nauda, €  100.00 ,"Medne, Linda",Jauno Konservatīvo frakcija,18/12/2018
Jaunā konservatīvā partija,Nauda, €  75.00 ,"Medne, Linda",Jauno Konservatīvo frakcija,18/12/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda, €  100.00 ,"Teirumnieks, Edmunds",Nacionāla Apvienība VL-TB/LNNK,17/12/2018
"KPV LV, Politiskā partija",Nauda, €  20.00 ,"Benhena-Bēkena, Iveta",KPV LV,15/12/2018
"KPV LV, Politiskā partija",Nauda, €  20.00 ,"Ģirģens, Kaspars",KPV LV,14/12/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda, €  100.00 ,"Mūrniece, Ināra",Nacionāla Apvienība VL-TB/LNNK,14/12/2018
Jaunā konservatīvā partija,Nauda, €  180.00 ,"Eglītis, Gatis",Jauno Konservatīvo frakcija,13/12/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda, €  100.00 ,"Jansons, Ritvars",Nacionāla Apvienība VL-TB/LNNK,13/12/2018
"KPV LV, Politiskā partija",Nauda, €  20.00 ,"Kronbergs, Edgars ",KPV LV,12/12/2018
"KPV LV, Politiskā partija",Nauda, €  20.00 ,"Blumbergs, Aldis",Pie frakcijām nepiederošie deputāti,11/12/2018
"KPV LV, Politiskā partija",Nauda, €  40.00 ,"Geidāns, Aivars",KPV LV,10/12/2018
Jaunā konservatīvā partija,Nauda, €  50.00 ,"Jurašs, Juris",Jauno Konservatīvo frakcija,10/12/2018
Jaunā konservatīvā partija,Nauda, €  100.00 ,"Muižniece, Anita",Jauno Konservatīvo frakcija,10/12/2018
Jaunā konservatīvā partija,Nauda, €  70.00 ,"Zālīte-Grosa, Evita",Jauno Konservatīvo frakcija,10/12/2018
Jaunā konservatīvā partija,Nauda, €  100.00 ,"Žunna, Normunds",Jauno Konservatīvo frakcija,10/12/2018
