Partija,Veids,Vērtība,Deputāts,Frakcija,Datums
Jaunā konservatīvā partija,Nauda, €  70.00 ,"Muižniece, Anita",Jauno Konservatīvo frakcija,21/11/2018
Jaunā konservatīvā partija,Nauda, €  70.00 ,"Riekstiņš, Sandis",Jauno Konservatīvo frakcija,21/11/2018
Kustība Par!,Nauda," €  1,000.00 ","Golubeva, Marija",Attīstībai/Par!,15/11/2018
"Saskaņa, sociāldemokrātiskā partija",Nauda," €  1,000.00 ","Ločmele-Luņova, Regīna",Saskaņa,13/11/2018
"KPV LV, Politiskā partija",Nauda, €  100.00 ,"Benhena-Bēkena, Iveta",KPV LV,10/11/2018
"KPV LV, Politiskā partija",Nauda, €  50.00 ,"Pucens, Ēriks",KPV LV,8/11/2018
"KPV LV, Politiskā partija",Nauda, €  100.00 ,"Ģirģens, Kaspars",KPV LV,7/11/2018
"KPV LV, Politiskā partija",Nauda, €  50.00 ,"Sprūde, Karina",Pie frakcijām nepiederošie deputāti,6/11/2018
Zaļo un Zemnieku savienība,Nauda," €  2,000.00 ","Bergmanis, Raimonds",Zaļo un Zemnieku Savienība,2/11/2018
Jaunā konservatīvā partija,Nauda, €  25.00 ,"Butāns, Jānis",Jauno Konservatīvo frakcija,2/11/2018
Zaļo un Zemnieku savienība,Manta vai pakalpojums, €  568.23 ,"Tavars, Edgars",Zaļo un Zemnieku Savienība,02/11/2018
"Saskaņa, sociāldemokrātiskā partija",Nauda, €  800.00 ,"Papule, Evija",Pie frakcijām nepiederošie deputāti,1/11/2018
Attīstībai/Par!,Manta vai pakalpojums, €  47.37 ,"Skride, Andris",Attīstībai/Par!,1/11/2018
Attīstībai/Par!,Manta vai pakalpojums, €  6.40 ,"Tērauda, Vita Anda",Attīstībai/Par!,1/11/2018
"KPV LV, Politiskā partija",Manta vai pakalpojums, €  278.30 ,"Blumbergs, Aldis",Pie frakcijām nepiederošie deputāti,31/10/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda, €  100.00 ,"Iesalnieks, Jānis",Nacionāla Apvienība VL-TB/LNNK,31/10/2018
"Jaunā VIENOTĪBA (Nacionālās VIENOTĪBAS apvienība; Partijas Jaunais laiks, partijas Pilsoniskā savienība un partijas Sabiedrība Citai Politikai apvienība; VIENOTĪBA)",Manta vai pakalpojums, €  191.18 ,"Kozlovskis, Rihards",Jaunā Vienotība,30/10/2018
Zaļo un Zemnieku savienība,Nauda, €  500.00 ,"Dūklavs, Jānis",Zaļo un Zemnieku Savienība,29/10/2018
"KPV LV, Politiskā partija",Nauda, €  300.00 ,"Puga, Ivars",KPV LV,27/10/2018
"Saskaņa, sociāldemokrātiskā partija",Nauda, €  700.00 ,"Ribakovs, Ivans",Saskaņa,24/10/2018
Attīstībai/Par!,Manta vai pakalpojums, €  230.46 ,"Golubeva, Marija",Attīstībai/Par!,23/10/2018
Zaļo un Zemnieku savienība,Nauda," €  1,000.00 ","Kučinskis, Māris",Zaļo un Zemnieku Savienība,23/10/2018
"Saskaņa, sociāldemokrātiskā partija",Nauda, €  300.00 ,"Kucins, Edgars",Saskaņa,22/10/2018
"KPV LV, Politiskā partija",Manta vai pakalpojums, €  180.00 ,"Geidāns, Aivars",KPV LV,17/10/2018
"Saskaņa, sociāldemokrātiskā partija",Nauda," €  1,500.00 ","Krišāns, Jānis",Saskaņa,15/10/2018
Attīstībai/Par!,Nauda, €  200.00 ,"Voika, Inese",Attīstībai/Par!,15/10/2018
"Saskaņa, sociāldemokrātiskā partija",Nauda, €  500.00 ,"Goldberga, Inga",Saskaņa,13/10/2018
"Saskaņa, sociāldemokrātiskā partija",Nauda," €  1,500.00 ","Goldberga, Inga",Saskaņa,12/10/2018
"Saskaņa, sociāldemokrātiskā partija",Nauda, €  80.00 ,"Ribakovs, Ivans",Saskaņa,12/10/2018
"Saskaņa, sociāldemokrātiskā partija",Nauda, €  45.00 ,"Ribakovs, Ivans",Saskaņa,12/10/2018
Jaunā konservatīvā partija,Nauda, €  25.00 ,"Butāns, Jānis",Jauno Konservatīvo frakcija,11/10/2018
"Saskaņa, sociāldemokrātiskā partija",Nauda," €  1,000.00 ","Nikonovs, Vladimirs",Saskaņa,11/10/2018
"Saskaņa, sociāldemokrātiskā partija",Nauda, €  500.00 ,"Nikonovs, Vladimirs",Saskaņa,11/10/2018
Attīstībai/Par!,Nauda, €  100.00 ,"Pūce, Juris",Attīstībai/Par!,11/10/2018
"Saskaņa, sociāldemokrātiskā partija",Nauda, €  500.00 ,"Rubiks, Artūrs",Saskaņa,11/10/2018
"Saskaņa, sociāldemokrātiskā partija",Nauda," €  1,000.00 ","Orlovs, Vitālijs",Saskaņa,10/10/2018
Zaļo un Zemnieku savienība,Nauda," €  1,000.00 ","Kučinskis, Māris",Zaļo un Zemnieku Savienība,9/10/2018
"KPV LV, Politiskā partija",Manta vai pakalpojums, €  370.65 ,"Sprūde, Karina",Pie frakcijām nepiederošie deputāti,9/10/2018
"KPV LV, Politiskā partija",Manta vai pakalpojums, €  30.00 ,"Kronbergs, Edgars ",KPV LV,08/10/2018
"KPV LV, Politiskā partija",Manta vai pakalpojums, €  132.85 ,"Kronbergs, Edgars ",KPV LV,08/10/2018
"KPV LV, Politiskā partija",Manta vai pakalpojums, €  180.00 ,"Ģirģens, Kaspars",KPV LV,8/10/2018
"KPV LV, Politiskā partija",Nauda, €  320.00 ,"Ģirģens, Kaspars",KPV LV,8/10/2018
"Saskaņa, sociāldemokrātiskā partija",Nauda," €  1,200.00 ","Kabanovs, Nikolajs",Saskaņa,8/10/2018
Attīstībai/Par!,Manta vai pakalpojums, €  47.04 ,"Skride, Andris",Attīstībai/Par!,8/10/2018
"KPV LV, Politiskā partija",Manta vai pakalpojums, €  200.00 ,"Sprūde, Karina",Pie frakcijām nepiederošie deputāti,8/10/2018
Attīstībai/Par!,Nauda, €  60.00 ,"Zamurs, Gatis",Attīstībai/Par!,06/10/2018
Attīstībai/Par!,Manta vai pakalpojums, €  222.40 ,"Zamurs, Gatis",Attīstībai/Par!,06/10/2018
Attīstībai/Par!,Nauda, €  20.00 ,"Voika, Inese",Attīstībai/Par!,6/10/2018
Zaļo un Zemnieku savienība,Manta vai pakalpojums, €  565.53 ,"Čakša, Anda",Pie frakcijām nepiederošie deputāti,5/10/2018
"Saskaņa, sociāldemokrātiskā partija",Manta vai pakalpojums, €  129.88 ,"Orlovs, Vitālijs",Saskaņa,5/10/2018
Attīstībai/Par!,Manta vai pakalpojums, €  1.36 ,"Skride, Andris",Attīstībai/Par!,5/10/2018
Attīstībai/Par!,Nauda, €  40.00 ,"Šteins, Mārtiņš",Attīstībai/Par!,5/10/2018
Attīstībai/Par!,Manta vai pakalpojums, €  6.55 ,"Tērauda, Vita Anda",Attīstībai/Par!,5/10/2018
Attīstībai/Par!,Manta vai pakalpojums, €  20.00 ,"Tērauda, Vita Anda",Attīstībai/Par!,5/10/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  170.00 ,"Dzintars, Raivis",Nacionāla Apvienība VL-TB/LNNK,4/10/2018
Latvijas attīstībai,Nauda, €  500.00 ,"Zamurs, Gatis",Attīstībai/Par!,04/10/2018
Attīstībai/Par!,Manta vai pakalpojums, €  170.93 ,"Zamurs, Gatis",Attīstībai/Par!,04/10/2018
Attīstībai/Par!,Nauda, €  40.00 ,"Golubeva, Marija",Attīstībai/Par!,4/10/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  5.00 ,"Kols, Rihards",Nacionāla Apvienība VL-TB/LNNK,4/10/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  10.00 ,"Kols, Rihards",Nacionāla Apvienība VL-TB/LNNK,4/10/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  10.00 ,"Kols, Rihards",Nacionāla Apvienība VL-TB/LNNK,4/10/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  10.00 ,"Kols, Rihards",Nacionāla Apvienība VL-TB/LNNK,4/10/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  10.00 ,"Kols, Rihards",Nacionāla Apvienība VL-TB/LNNK,4/10/2018
"Jaunā VIENOTĪBA (Nacionālās VIENOTĪBAS apvienība; Partijas Jaunais laiks, partijas Pilsoniskā savienība un partijas Sabiedrība Citai Politikai apvienība; VIENOTĪBA)",Nauda, €  30.00 ,"Lejiņš, Atis",Jaunā Vienotība,4/10/2018
Latvijas attīstībai,Biedra nauda, €  80.00 ,"Pūce, Juris",Attīstībai/Par!,4/10/2018
Zaļo un Zemnieku savienība,Manta vai pakalpojums, €  299.51 ,"Vucāns, Jānis",Zaļo un Zemnieku Savienība,4/10/2018
"KPV LV, Politiskā partija",Manta vai pakalpojums, €  303.37 ,"Blumbergs, Aldis",Pie frakcijām nepiederošie deputāti,3/10/2018
Attīstībai/Par!,Nauda, €  20.00 ,"Dūrītis, Ilmārs",Attīstībai/Par!,3/10/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  10.00 ,"Indriksone, Ilze",Nacionāla Apvienība VL-TB/LNNK,3/10/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  15.00 ,"Kols, Rihards",Nacionāla Apvienība VL-TB/LNNK,3/10/2018
"VIENOTĪBA, Partija",Nauda, €  200.00 ,"Lībiņa-Egnere, Inese",Jaunā Vienotība,3/10/2018
Attīstībai/Par!,Nauda, €  40.00 ,"Skride, Andris",Attīstībai/Par!,3/10/2018
Attīstībai/Par!,Manta vai pakalpojums, €  1.42 ,"Skride, Andris",Attīstībai/Par!,3/10/2018
Attīstībai/Par!,Manta vai pakalpojums, €  22.78 ,"Skride, Andris",Attīstībai/Par!,3/10/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  50.00 ,"Dombrava, Jānis",Nacionāla Apvienība VL-TB/LNNK,2/10/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  20.00 ,"Iesalnieks, Jānis",Nacionāla Apvienība VL-TB/LNNK,2/10/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  40.00 ,"Iesalnieks, Jānis",Nacionāla Apvienība VL-TB/LNNK,2/10/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  352.72 ,"Kiršteins, Aleksandrs",Nacionāla Apvienība VL-TB/LNNK,2/10/2018
"Saskaņa, sociāldemokrātiskā partija",Nauda, €  520.00 ,"Klementjevs, Ivans",Saskaņa,2/10/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  5.00 ,"Kols, Rihards",Nacionāla Apvienība VL-TB/LNNK,2/10/2018
Jaunā konservatīvā partija,Nauda, €  58.00 ,"Muižniece, Anita",Jauno Konservatīvo frakcija,2/10/2018
"Saskaņa, sociāldemokrātiskā partija",Manta vai pakalpojums, €  100.00 ,"Orlovs, Vitālijs",Saskaņa,2/10/2018
Jaunā konservatīvā partija,Nauda, €  100.00 ,"Zālīte-Grosa, Evita",Jauno Konservatīvo frakcija,2/10/2018
Jaunā konservatīvā partija,Nauda, €  50.00 ,"Butāns, Jānis",Jauno Konservatīvo frakcija,1/10/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  74.00 ,"Dzintars, Raivis",Nacionāla Apvienība VL-TB/LNNK,1/10/2018
"KPV LV, Politiskā partija",Manta vai pakalpojums, €  200.00 ,"Geidāns, Aivars",KPV LV,1/10/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  40.00 ,"Iesalnieks, Jānis",Nacionāla Apvienība VL-TB/LNNK,1/10/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  20.00 ,"Iesalnieks, Jānis",Nacionāla Apvienība VL-TB/LNNK,1/10/2018
"Saskaņa, sociāldemokrātiskā partija",Nauda," €  1,000.00 ","Klementjevs, Andrejs",Saskaņa,1/10/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  10.00 ,"Kols, Rihards",Nacionāla Apvienība VL-TB/LNNK,1/10/2018
Jaunā konservatīvā partija,Nauda, €  70.00 ,"Mārtuža, Eva",Jauno Konservatīvo frakcija,1/10/2018
"Saskaņa, sociāldemokrātiskā partija",Nauda, €  690.00 ,"Ribakovs, Ivans",Saskaņa,1/10/2018
Attīstībai/Par!,Nauda, €  20.00 ,"Rukšāne-Ščipčinska, Dace",Attīstībai/Par!,1/10/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  10.00 ,"Iesalnieks, Jānis",Nacionāla Apvienība VL-TB/LNNK,30/9/2018
LATGALES PARTIJA,Nauda, €  200.00 ,"Adamovičs, Aldis",Jaunā Vienotība,29/9/2018
Attīstībai/Par!,Nauda, €  20.00 ,"Dūrītis, Ilmārs",Attīstībai/Par!,28/9/2018
Attīstībai/Par!,Nauda," €  1,000.00 ","Zamurs, Gatis",Attīstībai/Par!,28/09/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda," €  2,500.00 ","Indriksone, Ilze",Nacionāla Apvienība VL-TB/LNNK,28/9/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda, €  150.00 ,"Kols, Rihards",Nacionāla Apvienība VL-TB/LNNK,28/9/2018
Attīstībai/Par!,Nauda," €  2,400.00 ","Skride, Andris",Attīstībai/Par!,28/9/2018
"Saskaņa, sociāldemokrātiskā partija",Nauda," €  3,000.00 ","Stepaņenko, Jūlija",Pie frakcijām nepiederošie deputāti,28/9/2018
Attīstībai/Par!,Nauda, €  20.00 ,"Tērauda, Vita Anda",Attīstībai/Par!,28/9/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  20.00 ,"Iesalnieks, Jānis",Nacionāla Apvienība VL-TB/LNNK,27/9/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda, €  100.00 ,"Iesalnieks, Jānis",Nacionāla Apvienība VL-TB/LNNK,27/9/2018
"Jaunā VIENOTĪBA (Nacionālās VIENOTĪBAS apvienība; Partijas Jaunais laiks, partijas Pilsoniskā savienība un partijas Sabiedrība Citai Politikai apvienība; VIENOTĪBA)",Nauda, €  300.00 ,"Latkovskis, Ainars",Jaunā Vienotība,27/9/2018
Attīstībai/Par!,Nauda, €  40.00 ,"Pūce, Juris",Attīstībai/Par!,27/9/2018
POLITISKĀ PARTIJA IZAUGSME,Nauda," €  2,000.00 ","Skride, Andris",Attīstībai/Par!,27/9/2018
Attīstībai/Par!,Nauda, €  125.00 ,"Golubeva, Marija",Attīstībai/Par!,26/9/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  20.00 ,"Iesalnieks, Jānis",Nacionāla Apvienība VL-TB/LNNK,26/9/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  40.00 ,"Iesalnieks, Jānis",Nacionāla Apvienība VL-TB/LNNK,26/9/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  5.00 ,"Kols, Rihards",Nacionāla Apvienība VL-TB/LNNK,26/9/2018
Jaunā konservatīvā partija,Nauda, €  150.00 ,"Butāns, Jānis",Jauno Konservatīvo frakcija,25/9/2018
Zaļo un Zemnieku savienība,Nauda, €  700.00 ,"Daudze, Gundars",Zaļo un Zemnieku Savienība,25/9/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda, €  900.00 ,"Indriksone, Ilze",Nacionāla Apvienība VL-TB/LNNK,25/9/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  15.00 ,"Kols, Rihards",Nacionāla Apvienība VL-TB/LNNK,25/9/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  10.00 ,"Kols, Rihards",Nacionāla Apvienība VL-TB/LNNK,25/9/2018
Zaļo un Zemnieku savienība,Nauda," €  1,000.00 ","Kučinskis, Māris",Zaļo un Zemnieku Savienība,25/9/2018
Jaunā konservatīvā partija,Nauda, €  150.00 ,"Muižniece, Anita",Jauno Konservatīvo frakcija,25/9/2018
"Saskaņa, sociāldemokrātiskā partija",Nauda, €  150.00 ,"Ribakovs, Ivans",Saskaņa,25/9/2018
Jaunā konservatīvā partija,Nauda, €  120.00 ,"Znotiņš, Reinis",Jauno Konservatīvo frakcija,25/9/2018
"KPV LV, Politiskā partija",Nauda, €  100.00 ,"Geidāns, Aivars",KPV LV,24/9/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  20.00 ,"Iesalnieks, Jānis",Nacionāla Apvienība VL-TB/LNNK,24/9/2018
"Jaunā VIENOTĪBA (Nacionālās VIENOTĪBAS apvienība; Partijas Jaunais laiks, partijas Pilsoniskā savienība un partijas Sabiedrība Citai Politikai apvienība; VIENOTĪBA)",Nauda, €  200.00 ,"Judins, Andrejs",Jaunā Vienotība,24/9/2018
"Saskaņa, sociāldemokrātiskā partija",Manta vai pakalpojums, €  70.00 ,"Orlovs, Vitālijs",Saskaņa,24/9/2018
Latvijas attīstībai,Biedra nauda, €  200.00 ,"Pūce, Juris",Attīstībai/Par!,24/9/2018
POLITISKĀ PARTIJA IZAUGSME,Nauda," €  3,200.00 ","Skride, Andris",Attīstībai/Par!,24/9/2018
POLITISKĀ PARTIJA IZAUGSME,Nauda," €  5,000.00 ","Skride, Andris",Attīstībai/Par!,24/9/2018
"KPV LV, Politiskā partija",Nauda, €  100.00 ,"Ģirģens, Kaspars",KPV LV,23/9/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  16.00 ,"Dombrava, Jānis",Nacionāla Apvienība VL-TB/LNNK,22/9/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  85.00 ,"Dzintars, Raivis",Nacionāla Apvienība VL-TB/LNNK,22/9/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  5.00 ,"Dombrava, Jānis",Nacionāla Apvienība VL-TB/LNNK,21/9/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  64.00 ,"Dzintars, Raivis",Nacionāla Apvienība VL-TB/LNNK,21/9/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  64.00 ,"Dzintars, Raivis",Nacionāla Apvienība VL-TB/LNNK,21/9/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  10.00 ,"Kols, Rihards",Nacionāla Apvienība VL-TB/LNNK,21/9/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  10.00 ,"Kols, Rihards",Nacionāla Apvienība VL-TB/LNNK,21/9/2018
"Saskaņa, sociāldemokrātiskā partija",Nauda," €  1,000.00 ","Ribakovs, Ivans",Saskaņa,21/9/2018
"KPV LV, Politiskā partija",Nauda, €  100.00 ,"Sprūde, Karina",Pie frakcijām nepiederošie deputāti,21/9/2018
"Saskaņa, sociāldemokrātiskā partija",Nauda, €  500.00 ,"Tutins, Jānis",Saskaņa,21/9/2018
LATGALES PARTIJA,Nauda, €  300.00 ,"Adamovičs, Aldis",Jaunā Vienotība,20/9/2018
"KPV LV, Politiskā partija",Nauda, €  485.00 ,"Blumbergs, Aldis",Pie frakcijām nepiederošie deputāti,20/9/2018
Jaunā konservatīvā partija,Nauda, €  120.00 ,"Butāns, Jānis",Jauno Konservatīvo frakcija,20/9/2018
"KPV LV, Politiskā partija",Nauda, €  500.00 ,"Geidāns, Aivars",KPV LV,20/9/2018
"KPV LV, Politiskā partija",Manta vai pakalpojums, €  150.00 ,"Geidāns, Aivars",KPV LV,20/9/2018
"Saskaņa, sociāldemokrātiskā partija",Manta vai pakalpojums, €  40.00 ,"Orlovs, Vitālijs",Saskaņa,20/9/2018
Jaunā konservatīvā partija,Nauda, €  100.00 ,"Cielēns, Jānis",Jauno Konservatīvo frakcija,19/9/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  34.00 ,"Dzintars, Raivis",Nacionāla Apvienība VL-TB/LNNK,19/9/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  5.00 ,"Kols, Rihards",Nacionāla Apvienība VL-TB/LNNK,19/9/2018
Jaunā konservatīvā partija,Nauda, €  120.00 ,"Medne, Linda",Jauno Konservatīvo frakcija,19/9/2018
"Saskaņa, sociāldemokrātiskā partija",Nauda, €  500.00 ,"Nikonovs, Vladimirs",Saskaņa,19/9/2018
"Saskaņa, sociāldemokrātiskā partija",Manta vai pakalpojums, €  40.00 ,"Orlovs, Vitālijs",Saskaņa,19/9/2018
Jaunā konservatīvā partija,Nauda, €  150.00 ,"Cielēns, Jānis",Jauno Konservatīvo frakcija,18/9/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda," €  1,050.00 ","Naudiņš, Romāns",Nacionāla Apvienība VL-TB/LNNK,18/9/2018
"Saskaņa, sociāldemokrātiskā partija",Nauda, €  410.00 ,"Orlovs, Vitālijs",Saskaņa,18/9/2018
"Saskaņa, sociāldemokrātiskā partija",Manta vai pakalpojums, €  30.00 ,"Orlovs, Vitālijs",Saskaņa,18/9/2018
"Saskaņa, sociāldemokrātiskā partija",Nauda, €  249.00 ,"Rubiks, Artūrs",Saskaņa,18/9/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  10.00 ,"Kols, Rihards",Nacionāla Apvienība VL-TB/LNNK,17/9/2018
"Saskaņa, sociāldemokrātiskā partija",Nauda, €  300.00 ,"Orlovs, Vitālijs",Saskaņa,17/9/2018
Zaļo un Zemnieku savienība,Nauda," €  2,000.00 ","Valainis, Viktors",Zaļo un Zemnieku Savienība,17/9/2018
Attīstībai/Par!,Nauda, €  34.00 ,"Voika, Inese",Attīstībai/Par!,17/9/2018
"Saskaņa, sociāldemokrātiskā partija",Manta vai pakalpojums, €  20.00 ,"Orlovs, Vitālijs",Saskaņa,16/9/2018
"Saskaņa, sociāldemokrātiskā partija",Manta vai pakalpojums, €  20.00 ,"Orlovs, Vitālijs",Saskaņa,16/9/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  10.00 ,"Indriksone, Ilze",Nacionāla Apvienība VL-TB/LNNK,15/9/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  11.00 ,"Kols, Rihards",Nacionāla Apvienība VL-TB/LNNK,15/9/2018
Jaunā konservatīvā partija,Nauda, €  50.00 ,"Mārtuža, Eva",Jauno Konservatīvo frakcija,15/9/2018
"Saskaņa, sociāldemokrātiskā partija",Manta vai pakalpojums, €  20.00 ,"Orlovs, Vitālijs",Saskaņa,15/9/2018
"Saskaņa, sociāldemokrātiskā partija",Nauda, €  250.00 ,"Ādamsons, Jānis",Saskaņa,14/9/2018
"KPV LV, Politiskā partija",Nauda, €  250.00 ,"Blumbergs, Aldis",Pie frakcijām nepiederošie deputāti,14/9/2018
"Saskaņa, sociāldemokrātiskā partija",Nauda, €  500.00 ,"Krišāns, Jānis",Saskaņa,14/9/2018
"Saskaņa, sociāldemokrātiskā partija",Manta vai pakalpojums, €  45.00 ,"Kucins, Edgars",Saskaņa,14/9/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda, €  300.00 ,"Rībena, Inguna",Pie frakcijām nepiederošie deputāti,14/9/2018
"KPV LV, Politiskā partija",Nauda, €  100.00 ,"Sprūde, Karina",Pie frakcijām nepiederošie deputāti,14/9/2018
Zaļo un Zemnieku savienība,Nauda," €  3,000.00 ","Valainis, Viktors",Zaļo un Zemnieku Savienība,14/9/2018
Jaunā konservatīvā partija,Nauda, €  25.00 ,"Butāns, Jānis",Jauno Konservatīvo frakcija,13/9/2018
Jaunā konservatīvā partija,Nauda, €  60.00 ,"Cielēns, Jānis",Jauno Konservatīvo frakcija,13/9/2018
Jaunā konservatīvā partija,Nauda," €  1,000.00 ","Eglītis, Gatis",Jauno Konservatīvo frakcija,13/9/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda, €  300.00 ,"Iesalnieks, Jānis",Nacionāla Apvienība VL-TB/LNNK,13/9/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Manta vai pakalpojums, €  10.00 ,"Indriksone, Ilze",Nacionāla Apvienība VL-TB/LNNK,13/9/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda, €  500.00 ,"Jansons, Ritvars",Nacionāla Apvienība VL-TB/LNNK,13/9/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda, €  500.00 ,"Jansons, Ritvars",Nacionāla Apvienība VL-TB/LNNK,13/9/2018
Jaunā konservatīvā partija,Nauda, €  841.56 ,"Kazinovskis, Andris",Pie frakcijām nepiederošie deputāti,13/9/2018
"VIENOTĪBA, Partija",Biedra nauda," €  1,000.00 ","Latkovskis, Ainars",Jaunā Vienotība,13/9/2018
Jaunā konservatīvā partija,Nauda, €  50.00 ,"Muižniece, Anita",Jauno Konservatīvo frakcija,13/9/2018
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda," €  1,000.00 ","Mūrniece, Ināra",Nacionāla Apvienība VL-TB/LNNK,13/9/2018
"Saskaņa, sociāldemokrātiskā partija",Nauda, €  550.00 ,"Orlovs, Vitālijs",Saskaņa,13/9/2018
Jaunā konservatīvā partija,Nauda, €  100.00 ,"Rancāns, Juris",Jauno Konservatīvo frakcija,13/9/2018
